NCT Number	Title	Acronym	Status	Conditions	Interventions	Outcome Measures	Sponsors	Gender	Age	Enrollment	Funders	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	Last Verified	First Submitted	First Posted	Results First Submitted	Results First Posted	Last Update Submitted	Last Update Posted	URL	Setting	Stage	Sponsor_Type	Controlled	Multi-Arm	Pediatric	Country_PI	Cancer_Group	Cancer_Type	Drug_INN	Primary-EP	Phase	DrugBank	Removed
NCT03848039	Impact on Disease Relapse of HPV Vaccination in Women Treated With LEEP for Cervical Intraepithelial Neoplasia. HOPE9	HOPE9	Not yet recruiting	Cervical Intraepithelial Neoplasia	Biological: Gardasil-9; Drug: Placebo	evaluation of disease recurrence reduction (cervical intraepithelial neoplasia up to microinvasive cancer of the cervix); impact of the vaccine on prevalent post-surgery infections; impact of the vaccine in the post-surgical surveillance times, comparison of viral wash-out times (negativity of the HPV test), times of negativization of the pap test and of the colposcopic picture in the post-operative period	Alessandro Ghelardi; Azienda USL Toscana Nord Ovest	Female	18 Years and older   (Adult, Older Adult)	1220	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention	HOPE9 STUDY; 2018-003507-19	12/01/2020	12/01/2022	05/01/2028			20/02/2019				11/05/2020	https://ClinicalTrials.gov/show/NCT03848039	Adjuvant/Maintenance	Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	Italy	Gynaecological	Cervical Cancer	HPV vaccine	Recurrence rate	Phase 3	Not found in DrugBank	N
NCT02416739	Anticancer Activity of Nicotinamide on Lung Cancer		Active, not recruiting	Non-Small-Cell Lung Carcinoma	Drug: Nicotinamide	Hazard ratio (PFS) of the nicotinamide arm to the placebo arm; Response rate; Difference in quality of life between the nicotinamide arm and the placebo arm; Overall survival	Il Yeong Park, Ph.D.; Chungbuk National University	All	18 Years and older   (Adult, Older Adult)	110	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	Amina-X-002	03/01/2015	03/01/2020	06/01/2020			15/04/2015				27/01/2020	https://ClinicalTrials.gov/show/NCT02416739		Localised/Locoregional; Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	Korea, Republic of	Lung	Non-Small Cell Lung Cancer	Nicotinamide	Response rate; PFS; OS; QoL	Phase 2/3	DB02701	N
NCT03516253	Fish Oil and EPO in Breast Cancer		Active, not recruiting	Breast Cancer	Dietary Supplement: Fish oil + EPO	Change in disease status; Change in quality of life; Changes in nutritional status; Changes in lipid profiles; Changes in plasma fatty acids profiles; Changes in interleukins; Changes in activity of superoxide dismutase.; Changes in activity of catalase.; Changes in activity of glutathion peroxidase.; Changes in activity of glutathion reductase.	University of Belgrade	Female	45 Years to 65 Years   (Adult, Older Adult)	60	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science	VMA-253-18	20/02/2019	20/12/2022	20/06/2023			05/04/2018				05/04/2021	https://ClinicalTrials.gov/show/NCT03516253		Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	Serbia	Breast	Any Breast Cancer	Omega 3	Safety and/or Dose; Response rate; QoL; Biomarker	Other	DB13961	N
NCT04664816	Omega-3 Polyunsaturated Fatty Acids and Non-Muscle Invasive Bladder Cancer		Recruiting	Non-Muscle Invasive Bladder Cancer	Drug: n-3PUFAs Treatment; Drug: Placebo Treatment	Time to first recurrence.; Recurrence-free survival	Mansoura University	All	18 Years to 90 Years   (Adult, Older Adult)	110	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Prevention	Omega3-NMIBC	12/01/2020	12/01/2022	12/01/2023			12/11/2020				21/12/2020	https://ClinicalTrials.gov/show/NCT04664816		Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	Egypt	Urological	Bladder Cancer	Omega 3	DFS/RFS/EFS; Recurrence rate	Other	DB13961	N
NCT04175769	EPA+DHA for Non-small Cell Lung Cancer Patients.		Not yet recruiting	Non-small Cell Lung Cancer	Dietary Supplement: Eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA); Other: Placebo	Disease control rate; Progression-free survival; 1-year survival; Chemotherapy-induced toxicities; Change in skeletal muscle mass and adipose tissue; Change in Serum CRP; Change in Serum Albumin; Change in Fatty Acid Incorporation and Omega-3 Index; Changes in Quality of Life	AHS Cancer Control Alberta; Cross Cancer Institute	All	18 Years and older   (Adult, Older Adult)	88	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	IIT-0001	01/01/2020	03/01/2022	09/01/2022			25/11/2019				26/11/2019	https://ClinicalTrials.gov/show/NCT04175769		Advanced/Metastatic	Collaborative Group	Y	N	N	Canada	Lung	Non-Small Cell Lung Cancer	Omega 3	Safety and/or Dose; PFS; OS; QoL; Biomarker	Other	DB13961	N
NCT03357757	Avelumab With Valproic Acid in Virus-associated Cancer	LATENT	Recruiting	Cancer That is Associated With a Chronic Viral Infection|p16 Positive SCCHN|Squamous Cell Carcinoma of the Cervix|p16 Positive Squamous Cell Carcinoma of the Vagina or Vulva|p16 Positive Squamous Cell Carcinoma of the Penis|p16 Positive Squamous Cell Carcinoma of the Anus or Anal Canal|EBER Positive NPC|EBER Positive Hodgkins and Non-hodgkins Lymphona	Drug: Valproic Acid; Biological: Avelumab	Efficacy of Avelumab and VPA; Proportion of subjects who complete 4 doses of Avelumab in combination with VPA; Overall survival; Progression free survival; Number of participants with adverse events; Identify specific virus-associated cancers as candidates for subsequent study; Measurement of Immuno-score; Measurement of MHC expression; Measurement of cell-free tumoral DNA in blood; Phenotyping of Tumour Infiltrating Lymphocytes; DNA viral load; Expression of lytic viral genes; Cytotoxic T-Lymphocyte immunophenotyping; T-cell receptor sequencing; Hsp90 concentration in serum	AHS Cancer Control Alberta; EMD Serono	All	18 Years and older   (Adult, Older Adult)	39	Other; Industry	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	LATENT	02/07/2018	30/03/2022	26/02/2027			30/11/2017				07/05/2019	https://ClinicalTrials.gov/show/NCT03357757		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	Canada	Multiple cancer types	Other multiple cancer group (specify)	Valproic Acid	Safety and/or Dose; PFS; OS; Other (specify)	Phase 2	DB00313	N
NCT02124174	Vidaza and Valproic Acid Post Allogeneic Transplant for High Risk AML and MDS		Recruiting	Acute Myelogenous Leukemia AML|Myelodysplastic Syndrome MDS	Drug: Vidaza and Valproic Acid	Survival; Disease Relapse	Patrick Stiff; Loyola University	All	2 Years to 89 Years   (Child, Adult, Older Adult)	50	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	203835	01/01/2012	01/01/2022	01/01/2022			28/04/2014				26/04/2021	https://ClinicalTrials.gov/show/NCT02124174		Advanced/Metastatic	Hospital/University/Research Institute	N	N	Y	United States	Leukemia; Other Haem-onc	Acute Myeloid Leukemia, Adult; Acute Myeloid Leukemia, Childhood; Myelodysplastic Syndromes	Valproic Acid	OS; Recurrence rate	Phase 2	DB00313	N
NCT02595138	Zoledronic Acid as Adjuvant Treatment of Triple-negative Breast Cancer		Active, not recruiting	Triple Negative Breast Cancer	Drug: Zoledronic acid	disease free survival; overall survival; Number of Participants with Adverse Events as a Measure of Safety and Tolerability	Chinese Academy of Medical Sciences; Beijing Municipal Science   Technology Commission	Female	18 Years and older   (Adult, Older Adult)	430	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CH-BC-039	10/01/2015	10/01/2018	12/01/2023			11/03/2015				11/03/2015	https://ClinicalTrials.gov/show/NCT02595138	Adjuvant/Maintenance	Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	China	Breast	Breast Cancer - TNBC	Zoledronic Acid	Safety and/or Dose; OS; DFS/RFS/EFS	Phase 3	DB00399	N
NCT03932071	Zoledronic Acid in Decrease the Lung Metastatic Rate of Osteosarcoma		Recruiting	Lung Metastases|Tumor Necrosis	Drug: Zoledronic Acid	rate of lung metastasis; rate of tumor recurrence; rate of tumor necrosis less than 90 	Second Affiliated Hospital, School of Medicine, Zhejiang University	All	Child, Adult, Older Adult	150	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention	ChiCTR-IPR-16008568	01/01/2017	01/01/2020	01/01/2023			30/04/2019				05/06/2019	https://ClinicalTrials.gov/show/NCT03932071		Localised/Locoregional	Hospital/University/Research Institute	Y	N	Y	China	Bone Sarcoma	Osteosarcoma	Zoledronic Acid	Recurrence rate; Other (specify)	Phase 4	DB00399	N
2009-017137-22	Clinical course after substitution of Vitamin-D deficiency in patients with lung cancer or oesophageal carcinoma. Double blind randomised prospective, placebo-controlled study.	Vitamin D3 in thoracic surgery	Ongoing	Patients admitted for treatment on a general thoracic surgery division with the following conditions:  Lung cancer  Esophageal cancer  Cancer of the gastroesophageal junction (GEJ)	Drug: Oleovit D3 Tropfen; Drug: Colecalciferol; Placebo	Determination of the 25(OH)Vitamin D - levels in a patient collective requiring general thoracic surgery.     The main hypothesis of the study is, that high-dose supplementation of vitamin D will reduce perioperative/periinterventional morbidity and mortality and will prolong survival or tumour-free survival in patients treated for lung cancer or oesophageal carcinoma.	Klinische Abteilung f uuml;r Thorax -u. Hyperbare Chirurgie, Medizinische Universit auml;t Graz	All	Adult 18-64	400		-	Contolled|Randomised|Placebo|Double blind												https://www.clinicaltrialsregister.eu/ctr-search/trial/2009-017137-22/AT	Perioperative	Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	Austria	Lung; GI	Any lung cancers; Esophageal Cancer	Cholecalciferol	OS; DFS/RFS/EFS; Biomarker	Phase 3	DB00169	N
2017-000695-28	Pilot study of Vitamin D biological effects in patients with resectable urinary tract urothelial carcinoma.		Ongoing	Patients with resectable urinary tract urothelial carcinoma candidates to radical cystectomy o nephroureterectomy.	Drug: Colecalciferol (Vitamin D); Drug: COLECALCIFEROL	Tumor expression of differentiation and Vitamin D response markers (RNA and protein), comparing pre- versus post- intervention with Vitamin D.	Hospital Universitari Germans Trias i Pujol	All	Adult 18-64	50	Fundaci oacute;n Asociaci oacute;n Espa ntilde;ola contra el C aacute;ncer	-													https://www.clinicaltrialsregister.eu/ctr-search/trial/2017-000695-28/ES		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	Spain	Urological	Bladder Cancer	Cholecalciferol	Biomarker	Phase 4	DB00169	N
2019-002748-25	Repurposing disulfiram as treatment for metastatic colorectal cancer  An investigator initiated clinical phase II trial	Disulfiram colorectal cancer	Ongoing	Metastatic, non-resectable and irinotecan-resistant colorectal cancer	Drug: disulfiram	Primary objective:    Disease-control rate (complete response, partial response and/or stable disease  gt;= 18 weeks   	Department of Oncology, Odense Universitetshospital	All	Adult 18-64	28	Danish Cancer Society	-	Open												https://www.clinicaltrialsregister.eu/ctr-search/trial/2019-002748-25/DK		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	Denmark	GI	Colon Cancer; Rectal Cancer	Disulfiram	Other (specify)	Phase 2	DB00822	N
2019-001972-12	A phase 1b/2 open-label, dose-escalating study of safety and efficacy of disulfiram, copper and vinorelbine in advanced solid tumors and advanced breast cancer  	Disulfiram trial	Ongoing	in phase 1b part: advanced and/or treatment refractory solid malignancies   in phase 2 part : advanced or metastatic HER2-negative breast cancer	Drug: disulfiram; Drug: vinorelbine	Phase 1b:   Safety and tolerability assessments include adverse event (AE), vital signs, physical examination, electrocardiogram (ECG) and clinical laboratory tests.    Phase 2:  clinical benefit rate (CBR=CR+PR+SD ge;18 weeks) per RECIST 1.1.	Department of Oncology, Herlev  amp; Gentofte Hospital	All	Adult 18-64	52	Danish Cancer Society	-	Open												https://www.clinicaltrialsregister.eu/ctr-search/trial/2019-001972-12/DK		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	Denmark	Multiple cancer types; Breast	Any solid tumours; Breast Cancer - HER2-	Disulfiram	Safety and/or Dose; Response rate; Other (specify)	Phase 1/2	DB00822	N
2019-000558-68	Phase II study of disulfiram and cisplatin in refractory testicular germ cell cancer.	GCTSK006	Ongoing	platina refractory testicular germ cell cancer	Drug: cisplatina; Drug: DISULFIRAM	Overall response rate (ORR) by RECIST 1.1 (intent-to-treat population)	N aacute;rodn yacute; onkologick yacute;  uacute;stav	Male	Adult 18-64	20	N aacute;rodn yacute; onkologick yacute;  uacute;stav	-	Open												https://www.clinicaltrialsregister.eu/ctr-search/trial/2019-000558-68/SK		Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	Slovakia	Urological	Testicular Cancer	Disulfiram	Response rate	Phase 2	DB00822	N
2016-000089-45	A Phase 3, Randomized, Open-Label Study To Evaluate the Efficacy and Safety of Eflornithine with Lomustine Compared to Lomustine Alone in Patients with Anaplastic Astrocytoma That Progress/Recur After Irradiation and Adjuvant Temozolomide Chemotherapy	STELLAR Study	GB - no longer in EU/EEA	Anaplastic Astrocytoma	Drug: Eflornithine; Drug: Lomustine; Drug: EFLORNITHINE HYDROCHLORIDE	The primary endpoint is the duration of overall survival as measured from the date of randomization. 	Orbus Therapeutics, Inc.	All	Adult 18-64	340	Orbus Therapeutics, Inc.	-	Contolled|Randomised|Open												https://www.clinicaltrialsregister.eu/ctr-search/trial/2016-000089-45/GB	Palliative	Recurrent/Refractory	Company	Y	N	N	United States	CNS	Astrocytoma	Eflornithine	OS	Phase 3	DB06243	N
2014-001523-69	Preclinical and clinical study of valproic acid plus cisplatin and cetuximab in recurrent and/or metastatic squamous cell carcinoma of head and neck	Valproic acid  ndash; Cisplatin and Cetuximab in Head And Neck CancEr	Ongoing	Recurrent and/or metastatic squamous cell carcinoma of head and neck	Drug: Valproic Acid; Drug: Erbitux; Drug: CETUXIMAB	The overall response rate	Istituto Nazionale Tumori di Napoli - Fondazione  G. Pascale 	All	Adult 18-64	39	Ricerca Corrente - Ministry of Health	-													https://www.clinicaltrialsregister.eu/ctr-search/trial/2014-001523-69/IT		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	Italy	Head and Neck	Any head and neck squamous cell carcinoma	Valproic Acid	Response rate	Phase 2	DB00313	N
2014-004194-16	A multicenter, single-arm, phase II study to evaluate the activity of pre-operative zoledronate in triple negative breast cancer patients, according to p53 level	TRIPLE NEGATIVE	Ongoing	Newly diagnosed, untreated, operable triple negative breast cancer		The study is primarily aimed at assessing the anti-tumor activity of pre-operative zoledronate (zol), measured through its effect on the Ki67 proliferative surrogate biomarker, in patients with TNBC selected according to the p53 expression (high vs low p53 expression). Primary endpoint of the study is the proportion of responder patients, defined as those with at least 30  reduction in Ki67 at surgery with respect to core-biopsy analysis. Prior to enrolment, the FFPE diagnostic core biopsy specimens will be analyzed by the study pathologist to determine the presence of invasive TNBC and the Ki67/p53 values. The ki67/p53 evaluation will be then repeated after treatment at the time of definitive surgery.	IRCCS- ISTITUTO DI RICERCHE FARMACOLOGICHE MARIO NEGRI	All	Adult 18-64	40	Associazione Italiana per la Ricerca sul Cancro	-													https://www.clinicaltrialsregister.eu/ctr-search/trial/2014-004194-16/IT		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	Italy	Breast	Breast Cancer - TNBC	Zoledronic Acid	Biomarker	Phase 2	DB00399	N
2009-016932-11	Phase III randomized trial with neoadjuvant chemotherapy (TAC) with or without zoledronic acid for patients with HER2-negative breast cancer.	NEO-ZOTAC	Ongoing	Patients with locally advanced or large resectable HER2-negative breast cancer	Drug: Zometa; Drug: pegfilgrastim	The primary endpoint of this study is the pathologic complete response (pCR) rate to neoadjuvant chemotherapy with or without zoledronic acid at surgery.	BOOG Study Center B.V	Female	Adult 18-64	250		-	Contolled|Randomised|Open												https://www.clinicaltrialsregister.eu/ctr-search/trial/2009-016932-11/NL	Neo-adjuvant/Window	Localised/Locoregional	Collaborative Group	Y	N	N	Netherlands	Breast	Breast Cancer - HER2-	Zoledronic Acid	Response rate	Phase 3	DB00399	N
